drug,model,feature,importance
erythromycin,RandomForest,TcaR,0.0
erythromycin,RandomForest,TcaB,0.0
erythromycin,RandomForest,alr1,0.0
erythromycin,RandomForest,TcaA,0.0
erythromycin,RandomForest,S12p,0.0
erythromycin,RandomForest,Tet(38),0.0
erythromycin,RandomForest,MprF,0.0
erythromycin,RandomForest,LiaS,0.0
erythromycin,RandomForest,LiaF,0.0
erythromycin,RandomForest,GdpD,0.0
erythromycin,RandomForest,FosB,0.0
erythromycin,RandomForest,BceR,0.0
erythromycin,RandomForest,EF-Tu,0.0
erythromycin,RandomForest,Erm(C),0.0
erythromycin,RandomForest,TcaB2,0.0
erythromycin,RandomForest,APH(3')-IIIa,0.0
erythromycin,RandomForest,BceA,0.0
erythromycin,RandomForest,ANT(6)-I,0.0
erythromycin,RandomForest,AAC(6')-Ie-APH(2'')-Ia,0.0
erythromycin,RandomForest,ANT(4')-Ib,0.0
erythromycin,RandomForest,ANT(9)-I,0.0
erythromycin,RandomForest,BceB,0.0
erythromycin,RandomForest,fabI,0.0
erythromycin,RandomForest,ermC,0.0
erythromycin,RandomForest,ermA,0.0
erythromycin,RandomForest,dfrG,0.0
erythromycin,RandomForest,ddl,0.0
erythromycin,RandomForest,dfrA,0.0
erythromycin,RandomForest,cls,0.0
erythromycin,RandomForest,cls_2,0.0
erythromycin,RandomForest,bcr,0.0
erythromycin,RandomForest,blaI,0.0
erythromycin,RandomForest,blaZ,0.0
erythromycin,RandomForest,blaI-1,0.0
erythromycin,RandomForest,bceS,0.0
erythromycin,RandomForest,aadD,0.0
erythromycin,RandomForest,aphA,0.0
erythromycin,RandomForest,ant9,0.0
erythromycin,RandomForest,S10p,0.0
erythromycin,RandomForest,mecA,0.0
erythromycin,RandomForest,macB_1,0.0
erythromycin,RandomForest,"inhA, fabI",0.0
erythromycin,RandomForest,mecR1,0.0
erythromycin,RandomForest,mecI,0.0
erythromycin,RandomForest,mecA_1,0.0
erythromycin,RandomForest,mecA_2,0.0
erythromycin,RandomForest,mprF,0.0
erythromycin,RandomForest,macB_2,0.0
erythromycin,RandomForest,ileS,0.0
erythromycin,RandomForest,gyrA_1,0.0
erythromycin,RandomForest,gyrA,0.0
erythromycin,RandomForest,graR_1,0.0
erythromycin,RandomForest,fosB2,0.0
erythromycin,RandomForest,gidB,0.0
erythromycin,RandomForest,norB_5,0.0
erythromycin,RandomForest,norB_4,0.0
erythromycin,RandomForest,norB_2,0.0
erythromycin,RandomForest,norB_1,0.0
erythromycin,RandomForest,murZ,0.0
erythromycin,RandomForest,norA,0.0
erythromycin,RandomForest,mepA,0.0
erythromycin,RandomForest,norB_6,0.0
erythromycin,RandomForest,rpsL,0.0
erythromycin,RandomForest,sat-4,0.0
erythromycin,RandomForest,sav1866,0.0
erythromycin,RandomForest,tcaA,0.0
erythromycin,RandomForest,tcaB,0.0
erythromycin,RandomForest,tcaB_1,0.0
erythromycin,RandomForest,rplF,0.0
erythromycin,RandomForest,rpsJ,0.0
erythromycin,RandomForest,tcaR,0.0
erythromycin,RandomForest,tcaB_2,0.0
erythromycin,RandomForest,tet38,0.0
erythromycin,RandomForest,tet(38),0.0
erythromycin,RandomForest,tuf,0.0
erythromycin,RandomForest,tufA,0.0
erythromycin,RandomForest,ugpQ_1,0.0
erythromycin,RandomForest,tetL,0.0
erythromycin,RandomForest,ugpQ_2,0.0
erythromycin,RandomForest,ugpQ_4,0.0
erythromycin,RandomForest,vraG,0.0
erythromycin,RandomForest,vraR_1,0.0
erythromycin,RandomForest,vraS_1,0.0
erythromycin,RandomForest,vraS_2,0.0
erythromycin,RandomForest,yheS_3,0.0
erythromycin,RandomForest,yvqF,0.0
